Ticker,Company
KTN.DE,KONTRON AG O.N
1AST.DE,ASTA ENERGY SOLUTIONS AG
SLYG.DE,SHELLY GROUP PLC     EO 1
A7A.DE,HELIAD AG   NA O.N.
DTD2.DE,B+S BANKSYSTEME AG O.N.
BWB.DE,BAADER BANK AG
UTDI.DE,UTD.INTERNET AG NA
AAD.DE,AMADEUS FIRE AG
BSL.DE,BASLER AG O.N.
ADV.DE,ADTRAN NETW.SE INH O.N.
AOF.DE,ATOSS SOFTWARE SE INH O.N
SYZ.DE,SYZYGY AG O.N.
A1OS.DE,ALL FOR ONE GROUP NA O.N.
TGT.DE,11 88 0 SOLUTIONS AG
R1B.DE,RUBEAN O.N.
DBK.DE,DEUTSCHE BANK AG NA O.N.
DEX.DE,DELTICOM AG  NA O.N.
SCE.DE,SCHWEIZER ELECTR. NA O.N.
HNL.DE,HOENLE AG O.N.
BC8.DE,BECHTLE AG O.N.
UUU.DE,3U HOLDING AG
SUR.DE,SURTECO GROUP SE INH O.N.
SYT.DE,SOFTING AG IN O.N.
WFA.DE,WENG FINE ART AG NA O.N.
BMW.DE,BAY.MOTOREN WERKE AG ST
BMW3.DE,BAY.MOTOREN WERKE  VZO
BYW.DE,BAYWA AG   NA O.N.
BYW6.DE,BAYWA AG VINK.NA. O.N.
ECK.DE,LUDW.BECK A.RATHAUSECK
BEI.DE,BEIERSDORF AG O.N.
BEZ.DE,BERENTZEN-GRP.AG
QB7.DE,QUIRIN PRIVATBK  O.N.
BNN.DE,BRAIN BIOTEC  NA O.N.
A6T.DE,ARTEC TECHNOLOGIES O.N.
MBQ.DE,MOBOTIX AG O.N.
EBK.DE,ENBW ENERGIE BAD.-WUE. ON
OBS.DE,ORBIS SE INH O.N.
BIJ.DE,BIJOU BRIGITTE O.N.
BDT.DE,BERTRANDT AG O.N.
EKT.DE,ENERGIEKONTOR O.N.
AFX.DE,CARL ZEISS MEDITEC AG
CWC.DE,CEWE STIFT.KGAA  O.N.
CSH.DE,CENIT AG O.N.
CEK.DE,CEOTRONICS AG O.N.
VVV3.DE,OEKOWORLD AG VZNA O.N.
COK.DE,CANCOM SE O.N.
CON.DE,CONTINENTAL AG O.N.
EVD.DE,CTS EVENTIM KGAA
LXS.DE,LANXESS AG
ULC.DE,UNITED LABELS O.N.
MZX.DE,MASTERFLEX O.N.
BVB.DE,BORUSSIA DORTMUND
HYQ.DE,HYPOPORT SE  NA O.N.
GME.DE,GERATHERM O.N.
DAM.DE,DATA MODUL AG O.N.
DGR.DE,DT.GRUNDST.AUKT.AG
1U1.DE,1+1 AG  INH O.N.
DRW8.DE,DRAEGERWERK ST.A.O.N.
DRW3.DE,DRAEGERWERK VZO O.N.
DHL.DE,DEUTSCHE POST AG NA O.N.
DTE.DE,DT.TELEKOM AG NA
PGN.DE,PARAGON KGAA  INH O.N.
DUE.DE,DUERR AG O.N.
UBK.DE,UMWELTBANK AG O.N.
DIE.DE,DIERIG HOLDING AG O.N.
EDL.DE,EDEL SE+CO.KGAA INH O.N.
EIF.DE,MEDNATION AG INH O.N.
EUZ.DE,ECKERT+ZIEGLER  INH O.N.
EVT.DE,EVOTEC SE  INH O.N.
ELG.DE,ELMOS SEMICOND. INH O.N.
LSX.DE,LS TELCOM AG
IXX.DE,INIT INNOVATION O.N.
AB9.DE,ABO ENERGY INH O.N.
XTP.DE,SINO AG
FIE.DE,FIELMANN GROUP AG O.N.
FRA.DE,FRAPORT AG FFM.AIRPORT
FEV.DE,FORTEC ELEKTRO. O.N.
FRS.DE,FORIS AG
FRE.DE,FRESENIUS SE+CO.KGAA O.N.
FME.DE,FRESEN.MED.CARE AG INH ON
GFT.DE,GFT TECHNOLOGIES SE
DB1.DE,DEUTSCHE BOERSE NA O.N.
E4C.DE,ECOTEL COMMUNICATION AG
MSAG.DE,MS INDUSTRIE AG
IS7.DE,INTICA SYSTEMS INH O.N.
GIL.DE,DMG MORI AG O.N.
GMM.DE,GRAMMER AG O.N.
GBF.DE,BILFINGER SE O.N.
YOC.DE,YOC AG O.N.
OHB.DE,OHB SE   O.N.
HAW.DE,HAWESKO HOLDING  INH O.N.
MAK.DE,MATERNUS-KLI.AG O.N.
HEI.DE,HEIDELBERG MATERIALS O.N.
HEN.DE,HENKEL AG+CO.KGAA ST O.N.
HEN3.DE,HENKEL AG+CO.KGAA VZO
HMU.DE,HMS BERGBAU AG
HOT.DE,HOCHTIEF AG
HBH.DE,HORNBACH HOLD.ST O.N.
INH.DE,INDUS HOLDING AG
CEA.DE,FRIWO AG O.N.
SZG.DE,SALZGITTER AG O.N.
IUR.DE,KAP AG  INH O.N.
MLL.DE,MUELLER-LILA LOG. INH ON
JUN3.DE,JUNGHEINRICH AG O.N.VZO
PCZ.DE,PROCREDIT HLDG AG NA EO 5
ITN.DE,INTERTAINMENT AG INH O.N.
IFX.DE,INFINEON TECH.AG NA O.N.
O4B.DE,OVB HOLDING AG
KSB.DE,KSB SE+CO.KGAA  ST O.N.
KSB3.DE,KSB SE+CO.KGAA VZO O.N.
DEZ.DE,DEUTZ AG O.N.
KRN.DE,KRONES AG O.N.
LPK.DE,LPKF LASER+ELECTR.INH ON
NEM.DE,NEMETSCHEK SE O.N.
LEI.DE,LEIFHEIT AG O.N.
ALG.DE,ALBIS LEASING AG O.N.
MLP.DE,MLP SE  INH. O.N.
NN6.DE,NANOREPRO AG
KWG.DE,KHD HUMBOLDT WEDAG O.N.
MUM.DE,MENSCH UND MASCH.O.N.
MED.DE,MEDICLIN AG
MRK.DE,MERCK KGAA O.N.
G1A.DE,GEA GROUP AG
CHG.DE,CHAPTERS GROUP INH O.N.
MUB.DE,MUEHLBAUER HOLD.AG O.N.
NDA.DE,AURUBIS AG
PFV.DE,PFEIFFER VACUUM TECH.O.N.
PZS.DE,SCHERZER U. CO. AG O.N.
PWO.DE,PWO AG  INH O.N.
PUM.DE,PUMA SE
RTC.DE,REALTECH AG O.N.
RAA.DE,RATIONAL AG
RHM.DE,RHEINMETALL AG
RWE.DE,RWE AG   INH O.N.
RHK.DE,RHOEN-KLINIKUM O.N.
KWS.DE,KWS SAAT KGAA  INH O.N.
MBG.DE,MERCEDES-BENZ GRP NA O.N.
SAP.DE,SAP SE O.N.
SRT.DE,SARTORIUS AG O.N.
SRT3.DE,SARTORIUS AG VZO O.N.
SKB.DE,KOENIG + BAUER AG ST O.N.
SIS.DE,FIRST SENSOR AG O.N.
SHF.DE,SNP SCHNEID.-NEUREIT.O.N.
SWA.DE,SCHLOSS WACHENHEIM AG O.N
SIX2.DE,SIXT SE ST O.N.
SIX3.DE,SIXT SE VZO O.N.
SGL.DE,SGL CARBON SE O.N.
SIE.DE,SIEMENS AG  NA O.N.
CEC.DE,CECONOMY AG  INH O.N.
STO3.DE,STO SE+CO.KGAA VZO O.N.
YSN.DE,SECUNET SECURITY AG O.N.
SZU.DE,SUEDZUCKER AG  O.N.
HDD.DE,HEIDELBERG.DRUCKMA.O.N.
TTK.DE,TAKKT AG O.N.
IVU.DE,IVU TRAFFIC TECHN.AG O.N.
TPE.DE,PVA TEPLA AG O.N.
DEQ.DE,DEUTSCHE EUROSHOP NA O.N.
SAX.DE,STROEER SE + CO. KGAA
TKA.DE,THYSSENKRUPP AG O.N.
TTO.DE,TTL BET.GRDBES.AG INH ON
WSU.DE,WASHTEC AG O.N.
UZU.DE,UZIN UTZ SE O.N.
F3C.DE,SFC ENERGY AG
VIB3.DE,VILLEROY + BOCH AG VZ
VOW.DE,VOLKSWAGEN AG ST O.N.
VOW3.DE,VOLKSWAGEN AG VZO O.N.
VOS.DE,VOSSLOH AG O.N.
4DS.DE,DALDRUP+SOEHNE AG
V6C.DE,VISCOM SE O.N.
ZIL2.DE,ELRINGKLINGER AG NA O.N.
KA8.DE,KLASSIK RADIO AG NA O.N.
PBB.DE,DT.PFANDBRIEFBK AG
WUW.DE,WUESTENROT+WUERTT.AG O.N.
AMI.DE,MEDONDO HLDG AG INH O.N.
MBK.DE,MERKUR PRIV.BK INH O.N.
LHA.DE,LUFTHANSA AG VNA O.N.
TEG.DE,TAG IMMOBILIEN AG
HNR1.DE,HANNOVER RUECK SE NA O.N.
ALV.DE,ALLIANZ SE NA O.N.
MUV2.DE,MUENCH.RUECKVERS. NA O.N.
NBG6.DE,NUERNBERGER BET.AG VNA
JDC.DE,JDC GROUP AG O.N.
V3V.DE,FAMICORD AG
NDX1.DE,NORDEX SE O.N.
MTX.DE,MTU AERO ENGINES NA O.N.
S92.DE,SMA SOLAR TECHNOL.AG
ACX.DE,BET-AT-HOME.COM AG O.N.
MBB.DE,MBB SE O.N.
M5S.DE,H2 CORE AG INH O.N.
MVV1.DE,MVV ENERGIE AG NA O.N.
P4O.DE,PLANOPTIK AG INH O.N.
2GB.DE,2G ENERGY AG
PSA.DE,PSI SOFTWARE SE NA ON.ZV.
DWNI.DE,DEUTSCHE WOHNEN SE INH
PNE3.DE,PNE AG  NA O.N.
LIK.DE,LIMES SCHLOSSKLINIK. O.N.
GTY.DE,GATEWAY R.EST.AG O.N.
VBK.DE,VERBIO SE INH O.N.
B7E.DE,BLUE CAP             O.N.
C1V0.DE,MVISE AG O.N. INH
NTG.DE,NABALTEC AG INH.
M3V.DE,MEVIS MEDICAL SOL.NA O.N.
CFC.DE,ACONNIC AG INH O.N.
GXI.DE,GERRESHEIMER AG
EXJ0.DE,READCREST CAPITAL AG O.N.
H9W.DE,HWA AG  INH.O.N.
ST5.DE,STEICO SE
EXL.DE,EXASOL AG  NA O.N.
ABX.DE,ADV.BLOCKCHAIN AG INH ON
M7U.DE,NYNOMIC AG  INH O.N.
ETG.DE,ENVITEC BIOGAS O.N.
DLX.DE,DELIGNIT AG      INH.O.N.
CGX.DE,CGRE AG INH O.N.
333.DE,ROSTRA AGC INH O.N. JGE
NFN.DE,NFON AG  INH O.N.
HHFA.DE,HAMBURG.HAFEN LOG.A-SP NA
BOG.DE,STOCK3 AG  NA O.N.
NB2.DE,NORTHERN DATA AG INH O.N.
DHE0.DE,DELIVERY HERO SE NEUE
M12.DE,M1 KLINIKEN AG  O.N.
DAR.DE,DATRON AG INH.O.N.
AIXA.DE,AIXTRON SE NA O.N.
DMRE.DE,DEMIRE DT.MTS.RE AG
DR0.DE,DT.ROHSTOFF AG NA O.N.
TTR1.DE,TECHNOTRANS SE NA O.N.
IBU.DE,IBU-TEC ADV.MATER. INH.ON
PSAN.DE,PSI SOFTWARE SE NA O.N.
ADN1.DE,ADESSO SE  INH O.N.
FNTN.DE,FREENET AG NA O.N.
ELB.DE,ELUMEO SE
BENH.DE,BENO HOLDING AG  INH O.N.
HPHA.DE,HEIDELBERG PHARMA AG O.N.
HRPK.DE,7C SOLARPARKEN AG  O.N.
G24.DE,SCOUT24 SE NA O.N.
ECF.DE,MOUNTAIN ALLIANCE NA O.N.
PO1.DE,POB AG NA O.N.
LQAG.DE,LAIQON AG INH O.N.
NC5A.DE,NORCOM INF.TECHN. INH ON
CAP.DE,SCP STAN.CAP.PART. INH ON
DEF.DE,DEFAMA AG
HLE.DE,HELLA GMBH+CO. KGAA O.N.
DKG.DE,DT.KONSUM REAL EST.AG
ERAG.DE,ERNST RUSS AG NA O.N.
HFG.DE,HELLOFRESH SE  INH O.N.
RTV.DE,YOUR FAMILY ENTER.AG NA
TUF.DE,LIBERO FOOTB.FIN.INH O.N.
GLJ.DE,GRENKE AG NA O.N.
SNG.DE,SINGULUS TECHNOL. EO 1
SVE.DE,SHAREHOLD.VAL.BET.NA O.N.
KSC.DE,KPS AG NA O.N.
PTHH.DE,PATH2 HYDR. AG INH O.N.
AJ91.DE,DOCCHECK AG NA O.N.
BNR.DE,BRENNTAG SE NA O.N.
GTK.DE,TONKENS AGRAR AG
FYB.DE,FORMYCON AG
ADS.DE,ADIDAS AG NA O.N.
ABO.DE,CLEARVISE AG INH O.N.
NOEJ.DE,NORMA GROUP SE NA O.N.
GSC1.DE,GESCO SE NA O.N.
SMHN.DE,SUSS MICROTEC SE NA O.N.
VNA.DE,VONOVIA SE NA O.N.
ILM1.DE,MEDIOS AG  O.N.
NF4.DE,NETFONDS AG  VNA O.N.
PGH.DE,THE PAYM.GR.HLDG KG NA ON
RSL2.DE,R. STAHL AG NA O.N.
BOSS.DE,HUGO BOSS AG NA O.N.
RCMN.DE,RCM BETEILIGUNGS NA. O.N.
SMWN.DE,SM WIRTSCHAFTSBER.NA.O.N.
ACWN.DE,A.S.CREATION TAPETEN NA
SF3.DE,STS GROUP AG  O.N.
DBAN.DE,DT.BETEILIG.AG   NA O.N.
ADE.DE,BITCOIN GROUP SE  O.N.
MPCK.DE,MPC MUENCH.PET.CAP.
ERWE.DE,ERWE IMMOB. AG INH O.N.
BRNK.DE,BRANICKS GROUP AG NA O.N.
BST.DE,BASTEI LUEBBE AG  O.N.
FC9.DE,FCR IMMOBILIEN AG NA O.N.
WOLF.DE,META WOLF AG INH O.N.
ISHA.DE,INTERSHOP COMM.  INH O.N.
IPOK.DE,SQD.AI STRATEGIES AG O.N.
VH2.DE,FR.VORWERK GRP SE INH ON
H2O.DE,ENAPTER AG  INH O.N.
93M1.DE,MPH HEALTH CARE  INH O.N
DFTK.DE,DF DT.FORFAIT AG  NA O.N.
T3T1.DE,SEVEN PRINCIPLES AG O.N.
CY1K.DE,SBF AG
VRL.DE,NET DIGITAL AG INH O.N.
MXHN.DE,MAX AUTOMATION SE NA O.N.
AAG.DE,AUMANN AG  INH O.N.
DHER.DE,DELIVERY HERO SE NA O.N.
VOTR.DE,VOLTATRON AG INH. O.N.
CYR.DE,CYAN AG  INH O.N.
2HRA.DE,H+R KGAA  INH. O.N.
SJJ.DE,SERVICEWARE SE  INH O.N.
PYR.DE,PYRUM INNOV.AG  NA O.N.
DMP.DE,DERMAPHARM HLDG INH O.N.
SB1.DE,SMARTBROKER HLDG INH O.N.
AEIN.DE,ALLGEIER SE  NA O.N.
BKHT.DE,BROCKHAUS TECHN. NA O.N.
Z29.DE,029 GROUP SE INH O.N.
AG1.DE,AUTO1 GROUP SE  INH O.N.
ZN2.DE,WEGROW AG  INH O.N.
WEW.DE,WESTWING GROUP  INH. O.N.
JEN.DE,JENOPTIK AG  NA O.N.
MUX.DE,MUTARES KGAA  NA O.N.
INS.DE,INSTONE REAL EST.GRP O.N.
123F.DE,123FAHRSCHULE SE INH O.N.
CA1.DE,CIRCUS SE INH O.N.
KTA.DE,KNAUS AG  INH O.N.
EMH.DE,PFERDEWETTEN.DE AG NA ON
TMV.DE,TEAMVIEWER SE  INH O.N.
ACT.DE,ALZCHEM GROUP AG INH O.N.
VIH1.DE,VIB VERMOEGEN  NA O.N.
KA1.DE,HAUSVORTEIL AG NA O.N.
SLSA.DE,SOLUTIANCE AG  NA O.N.
SZ50.DE,LUEBKE KELBER AG NA O.N.
CLIQ.DE,CLIQ DIGITAL AG  NA O.N.
27N0.DE,CANNOVUM CANNABIS INH ON
7V0.DE,DARWIN AG INH O.N.
HGEA.DE,HGEARS AG  INH O.N.
14D.DE,TOKENTUS INVESTMENT AG
SPC.DE,STAIGE ONE AG INH O.N.
BIKE.DE,BIKE24 HLDG O.N.
C3RY.DE,CHERRY SE  O.N.
MRX.DE,MISTER SPEX SE INH O.N.
S188.DE,SMT SCHARF AG NA O.N.
HIGH.DE,CANTOURAGE GROUP SE O.N.
D77.DE,DN GROUP AG NA O.N.
IOS.DE,IONOS GROUP SE NA O.N.
SBX.DE,SYNBIOTIC SE  NA O.N.
CDZ0.DE,MHP HOTEL AG INH O.N.
FPE.DE,FUCHS SE  NA ST O.N.
FPE3.DE,FUCHS SE  VZO NA O.N.
HP3A.DE,RINGMETALL SE  NA O.N.
VEZ.DE,PLANETHIC GROUP INH. O.N.
1SXP.DE,SCHOTT PHARMA INH O.N.
0M0.DE,AVERDION SE INH. O.N.
MWB0.DE,MWB FAIRTRADE WPHDL.NA ON
AAQ1.DE,AAP IMPLANTATE AG O.N.
MA10.DE,BINECT AG  INH O.N.
NA9.DE,NAGARRO SE  NA O.N.
HABA.DE,HAMBORNER REIT AG NA O.N.
INW.DE,GBS SOFTWARE AG INH O.N.
3330.DE,ROSTRA AGC INH O.N.
PDA0.DE,PRO DV AG INH O.N.
PTP.DE,PENTIXAPHARM HLDG NA O.N.
EIN.DE,EINHELL GERMANY VZO O.N.
3ITN.DE,AUDIUS SE  NA O.N.
FXT.DE,FINEXITY AG NA O.N.
G6P0.DE,GOING PUBLIC MEDIA NA ON
AMM.DE,GROUNDS R.EST. NA O.N.
1INN.DE,INNOSCRIPTA SE INH O.N.
TIW.DE,TIN INN HLDG AG VNA O.N.
VG80.DE,ASCORY BANK AG NA O.N.
VME.DE,VIROMED MEDICAL NA O.N.
UMD.DE,UMT UTD MOB.TECHN. INH ON
CECV.DE,CECONOMY AG ON Z.VERK.
TPG0.DE,THE PLATFORM GROUP NA ON
N4G0.DE,THE NAGA GROUP AG NA O.N.
EFF0.DE,DT.EFF.U.WECH.-BET.G.
QBY0.DE,Q.BEYOND AG NA O.N.
M3B0.DE,PYRAMID AG NA O.N.
CBK0.DE,COMMERZBANK AG Z. VERK.
SNG0.DE,SINGULUS TECHNOL. EO 1
D6H0.DE,DATAGROUP SE NA. O.N.
BOS.DE,HUGO BOSS AG NA Z.VERK.
C3R.DE,CHERRY SE  O.N.KONV.
EVAC.DE,ELECTROVAC AG
XK4.DE,GABLER GRP AG INH O.N.
B8FK.DE,BIOFRONTERA AG NA O.N.
AMV0.DE,AUMOVIO SE NA O.N.
BAS.DE,BASF SE NA O.N.
BAYN.DE,BAYER AG NA O.N.
OBCK.DE,OTTOBOCK SE+CO.KGAA  O.N.
DOU.DE,DOUGLAS AG  NA O.N.
BIG1.DE,BIO-GATE AG O.N.
CBK.DE,COMMERZBANK AG
DTG.DE,DAIMLER TRUCK HLDG NA ON
DWS.DE,DWS GROUP GMBH+CO.KGAA ON
EOAN.DE,E.ON SE NA O.N.
ENR.DE,SIEMENS ENERGY AG NA O.N.
EVK.DE,EVONIK INDUSTRIES NA O.N.
FTK.DE,FLATEXDEGIRO SE NA O.N.
HAG.DE,HENSOLDT AG INH O.N.
HLAG.DE,HAPAG-LLOYD AG NA O.N.
JST.DE,JOST WERKE SE INH. O.N.
KBX.DE,KNORR-BREMSE AG  INH O.N.
KCO.DE,KLOECKNER + CO SE NA O.N.
KGX.DE,KION GROUP AG
SDF.DE,K+S AG NA O.N.
LEG.DE,LEG IMMOBILIEN SE NA O.N.
LUS1.DE,LANG + SCHWARZ AG NA O.N.
NCH2.DE,THYSSENKRUPP NUCERA O.N.
P911.DE,DR.ING.H.C.F.PORSCHE VZO
PAH3.DE,PORSCHE AUTOM.HLDG VZO
PAT.DE,PATRIZIA SE NA O.N.
PFSE.DE,PFISTERER HLDG SE INH ON
PSM.DE,PROSIEBENSAT.1  NA O.N.
R3NK.DE,RENK GROUP AG INH O.N.
SFQ.DE,SAF-HOLLAND SE  INH EO 1
SHA0.DE,SCHAEFFLER AG NA O.N.
SHL.DE,SIEMENS HEALTH.AG NA O.N.
SPG.DE,SPRINGER NATURE INH O.N.
STM.DE,STABILUS SE INH. O.N.
SBS.DE,STRATEC SE  NA O.N.
SY1.DE,SYMRISE AG INH. O.N.
TKMS.DE,TKMS AG + CO. KGAA O.N.
TLX.DE,TALANX AG NA O.N.
8TRA.DE,TRATON SE   INH O.N.
TUI1.DE,TUI AG NA O.N.
UN0.DE,UNIPER SE  NA O.N.
V1NC.DE,VINCORION SE INH O.N.
WAC.DE,WACKER NEUSON SE NA O.N.
WAF.DE,SILTRONIC AG NA O.N.
WCH.DE,WACKER CHEMIE        O.N.
WDL1.DE,NAKIKI SE INH O.N.
ZAL.DE,ZALANDO SE
TIMA.DE,ZEAL NETWORK SE NA O.N.
RRTL.DE,RTL GROUP
GYC.DE,"GRAND CITY PROPERT.EO-,10"
AT1.DE,"AROUNDTOWN EO-,01"
BFSA.DE,BEFESA S.A. ORD. O.N.
TNIE.DE,TONIES SE            EO 1
AIR.DE,AIRBUS SE
RDC.DE,REDCARE PHARMACY INH.
QIA.DE,"QIAGEN NV         EO -,01"
